"Gender","Unemployment Age","Unemployment Year","Month","Unemployment Rate"
"Male","15 - 74 years","2003","10",55.9
"Male","25 - 74 years","2003","10",34.5
"Female","15 - 24 years","2003","10",14.1
"Female","15 - 74 years","2003","10",38.7
"Female","25 - 74 years","2003","10",24.6
"Both","15 - 24 years","2003","11",35.5
"Both","15 - 74 years","2003","11",93.7
"Both","25 - 74 years","2003","11",58.2
"Male","15 - 24 years","2003","11",21.1
"Male","15 - 74 years","2003","11",55.2
"Male","25 - 74 years","2003","11",34.1
"Female","15 - 24 years","2003","11",14.4
"Female","15 - 74 years","2003","11",38.5
"Female","25 - 74 years","2003","11",24.2
"Both","15 - 24 years","2003","12",36.2
"Both","15 - 74 years","2003","12",96.6
"Both","25 - 74 years","2003","12",60.4
"Male","15 - 24 years","2003","12",21.1
"Male","15 - 74 years","2003","12",56.5
"Male","25 - 74 years","2003","12",35.4
"Female","15 - 24 years","2003","12",15.1
"Female","15 - 74 years","2003","12",40.1
"Female","25 - 74 years","2003","12",25.1
"Both","15 - 24 years","2004","01",37.7
"Both","15 - 74 years","2004","01",102.8
"Both","25 - 74 years","2004","01",65.1
"Male","15 - 24 years","2004","01",21.9
"Male","15 - 74 years","2004","01",59.7
"Male","25 - 74 years","2004","01",37.8
"Female","15 - 24 years","2004","01",15.8
"Female","15 - 74 years","2004","01",43.1
"Female","25 - 74 years","2004","01",27.3
"Both","15 - 24 years","2004","02",38.4
"Both","15 - 74 years","2004","02",104.6
"Both","25 - 74 years","2004","02",66.3
"Male","15 - 24 years","2004","02",21.8
