"Cause","Date","Location","Suicides"
"SI/DSH",2015,"Wexford",0
"SI/SA",2015,"Wexford",0
"SI/SA/DSH",2015,"Wexford",0
"DNAA",2016,"Wexford",0
"DSH",2016,"Wexford",0
"SA Only",2016,"Wexford",0
"SA/DSH",2016,"Wexford",0
"SI Only",2016,"Wexford",0
"SI/DSH",2016,"Wexford",0
"SI/SA",2016,"Wexford",0
"SI/SA/DSH",2016,"Wexford",0
"DNAA",2017,"Wexford",14
"DSH",2017,"Wexford",6
"SA Only",2017,"Wexford",0
"SA/DSH",2017,"Wexford",2
"SI Only",2017,"Wexford",32
"SI/DSH",2017,"Wexford",17
"SI/SA",2017,"Wexford",19
"SI/SA/DSH",2017,"Wexford",25
"DNAA",2013,"Galway.City",0
"DSH ",2013,"Galway.City",0
"SA Only",2013,"Galway.City",0
"SA/DSH",2013,"Galway.City",0
"SI Only",2013,"Galway.City",0
"SI/DSH",2013,"Galway.City",0
"SI/SA",2013,"Galway.City",0
"SI/SA/DSH",2013,"Galway.City",0
"DNAA",2014,"Galway.City",0
"DSH ",2014,"Galway.City",0
"SA Only",2014,"Galway.City",0
"SA/DSH",2014,"Galway.City",0
"SI Only",2014,"Galway.City",0
"SI/DSH",2014,"Galway.City",0
"SI/SA",2014,"Galway.City",0
"SI/SA/DSH",2014,"Galway.City",0
"DNAA",2015,"Galway.City",0
"DSH",2015,"Galway.City",0
"SA Only",2015,"Galway.City",0
"SA/DSH",2015,"Galway.City",0
"SI Only",2015,"Galway.City",0
"SI/DSH",2015,"Galway.City",0
"SI/SA",2015,"Galway.City",0
"SI/SA/DSH",2015,"Galway.City",0
"DNAA",2016,"Galway.City",0
"DSH",2016,"Galway.City",0
"SA Only",2016,"Galway.City",0
"SA/DSH",2016,"Galway.City",0
"SI Only",2016,"Galway.City",0
"SI/DSH",2016,"Galway.City",0
"SI/SA",2016,"Galway.City",0
"SI/SA/DSH",2016,"Galway.City",0
"DNAA",2017,"Galway.City",0
"DSH",2017,"Galway.City",0
"SA Only",2017,"Galway.City",1
"SA/DSH",2017,"Galway.City",0
"SI Only",2017,"Galway.City",11
"SI/DSH",2017,"Galway.City",5
"SI/SA",2017,"Galway.City",4
"SI/SA/DSH",2017,"Galway.City",5
"DNAA",2013,"North.West",0
"DSH ",2013,"North.West",0
"SA Only",2013,"North.West",0
"SA/DSH",2013,"North.West",0
"SI Only",2013,"North.West",0
"SI/DSH",2013,"North.West",0
"SI/SA",2013,"North.West",0
"SI/SA/DSH",2013,"North.West",0
"DNAA",2014,"North.West",0
"DSH ",2014,"North.West",0
"SA Only",2014,"North.West",0
"SA/DSH",2014,"North.West",0
"SI Only",2014,"North.West",0
"SI/DSH",2014,"North.West",0
"SI/SA",2014,"North.West",0
"SI/SA/DSH",2014,"North.West",0
"DNAA",2015,"North.West",0
"DSH",2015,"North.West",0
"SA Only",2015,"North.West",0
"SA/DSH",2015,"North.West",0
"SI Only",2015,"North.West",0
